,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
35,2020-05-05,155.37035022915884,62.215943680648664,239.54669232923266,155.37035022915884,155.37035022915884,-2.3850194152948347,-2.3850194152948347,-2.3850194152948347,-2.3850194152948347,-2.3850194152948347,-2.3850194152948347,0.0,0.0,0.0,152.985330813864
36,2020-05-06,157.1658387768066,73.54314005570743,242.61063016319093,157.1658387768066,157.1658387768066,-3.495170770012248,-3.495170770012248,-3.495170770012248,-3.495170770012248,-3.495170770012248,-3.495170770012248,0.0,0.0,0.0,153.67066800679436
37,2020-05-07,158.96132732445437,69.43986913896875,237.0903683276127,158.96132732445437,158.96132732445437,-3.8442675055362754,-3.8442675055362754,-3.8442675055362754,-3.8442675055362754,-3.8442675055362754,-3.8442675055362754,0.0,0.0,0.0,155.1170598189181
38,2020-05-08,160.75681587210212,62.51426126223173,235.26495941238937,160.75681587210212,160.75681587210212,-7.762427094648207,-7.762427094648207,-7.762427094648207,-7.762427094648207,-7.762427094648207,-7.762427094648207,0.0,0.0,0.0,152.9943887774539
39,2020-05-11,166.14328151504537,75.79000085715258,237.77993848067635,166.14328151504537,166.14328151504537,-5.865172059096302,-5.865172059096302,-5.865172059096302,-5.865172059096302,-5.865172059096302,-5.865172059096302,0.0,0.0,0.0,160.27810945594908
40,2020-05-12,167.93877006269315,80.5175368756521,246.2770505337152,167.93877006269315,167.93877006269315,-2.385019415299076,-2.385019415299076,-2.385019415299076,-2.385019415299076,-2.385019415299076,-2.385019415299076,0.0,0.0,0.0,165.55375064739408
41,2020-05-13,169.7342585996045,78.46264430534823,254.1431680479014,169.7342585996045,169.7342585996045,-3.4951707700090844,-3.4951707700090844,-3.4951707700090844,-3.4951707700090844,-3.4951707700090844,-3.4951707700090844,0.0,0.0,0.0,166.2390878295954
42,2020-05-14,171.52974713651582,86.92206238744966,251.87121931989452,171.52974713651582,171.52974713651582,-3.844267505535096,-3.844267505535096,-3.844267505535096,-3.844267505535096,-3.844267505535096,-3.844267505535096,0.0,0.0,0.0,167.68547963098072
43,2020-05-15,173.3252356734272,76.88337063018575,250.8438044972932,173.3252356734272,173.3252356734272,-7.762427094635124,-7.762427094635124,-7.762427094635124,-7.762427094635124,-7.762427094635124,-7.762427094635124,0.0,0.0,0.0,165.56280857879207
44,2020-05-18,178.71170128416125,86.92956936648685,259.54025523981977,178.71170128416125,178.71170128416125,-5.865172059082926,-5.865172059082926,-5.865172059082926,-5.865172059082926,-5.865172059082926,-5.865172059082926,0.0,0.0,0.0,172.8465292250783
45,2020-05-19,180.50718982107256,92.47053351788931,266.61611805491276,180.50718982107256,180.50718982107256,-2.3850194153033173,-2.3850194153033173,-2.3850194153033173,-2.3850194153033173,-2.3850194153033173,-2.3850194153033173,0.0,0.0,0.0,178.12217040576925
46,2020-05-20,182.3026783579839,90.49474307762996,263.37700583217224,182.3026783579839,182.3026783579839,-3.4951707700102776,-3.4951707700102776,-3.4951707700102776,-3.4951707700102776,-3.4951707700102776,-3.4951707700102776,0.0,0.0,0.0,178.80750758797362
47,2020-05-21,184.0981668948953,93.51090278204333,260.45584795292206,184.0981668948953,184.0981668948953,-3.8442675055516156,-3.8442675055516156,-3.8442675055516156,-3.8442675055516156,-3.8442675055516156,-3.8442675055516156,0.0,0.0,0.0,180.25389938934367
48,2020-05-22,185.8936554318066,92.76040356586648,263.65911865708733,185.8936554318066,185.8936554318066,-7.7624270946220415,-7.7624270946220415,-7.7624270946220415,-7.7624270946220415,-7.7624270946220415,-7.7624270946220415,0.0,0.0,0.0,178.13122833718455
49,2020-05-26,193.07561333468345,107.23099720794056,281.67524792663227,193.07561333468345,193.07561333468345,-2.3850194152955253,-2.3850194152955253,-2.3850194152955253,-2.3850194152955253,-2.3850194152955253,-2.3850194152955253,0.0,0.0,0.0,190.69059391938794
50,2020-05-27,194.87110281040268,98.95802094912982,280.9409466565341,194.87110281040268,194.87110281040268,-3.495170770011472,-3.495170770011472,-3.495170770011472,-3.495170770011472,-3.495170770011472,-3.495170770011472,0.0,0.0,0.0,191.3759320403912
51,2020-05-28,196.66659228612187,109.44048232193974,280.57760940161944,196.66659228612187,196.66659228612187,-3.8442675055281366,-3.8442675055281366,-3.8442675055281366,-3.8442675055281366,-3.8442675055281366,-3.8442675055281366,0.0,0.0,0.0,192.82232478059373
52,2020-05-29,198.46208176184112,103.96508382940232,272.69048659714514,198.46208176184112,198.46208176184112,-7.762427094658805,-7.762427094658805,-7.762427094658805,-7.762427094658805,-7.762427094658805,-7.762427094658805,0.0,0.0,0.0,190.6996546671823
53,2020-06-01,203.84855018899873,115.59847152197109,286.3326061260598,203.84855018899873,203.84855018899873,-5.865172059108778,-5.865172059108778,-5.865172059108778,-5.865172059108778,-5.865172059108778,-5.865172059108778,0.0,0.0,0.0,197.98337812988996
54,2020-06-02,205.64403966471795,119.49803961314201,285.5207937790399,205.64403966471795,205.64403966471795,-2.385019415287734,-2.385019415287734,-2.385019415287734,-2.385019415287734,-2.385019415287734,-2.385019415287734,0.0,0.0,0.0,203.25902024943022
55,2020-06-03,207.4395291404372,119.8304193077281,293.76309589361637,207.4395291404372,207.4395291404372,-3.4951707700108976,-3.4951707700108976,-3.4951707700108976,-3.4951707700108976,-3.4951707700108976,-3.4951707700108976,0.0,0.0,0.0,203.9443583704263
56,2020-06-04,209.23501861615637,113.83926388529075,296.2343029689655,209.23501861615637,209.23501861615637,-3.844267505535807,-3.844267505535807,-3.844267505535807,-3.844267505535807,-3.844267505535807,-3.844267505535807,0.0,0.0,0.0,205.39075111062056
57,2020-06-05,211.05284951122653,115.14450825664385,292.06394739368824,211.05284951122653,211.05284951122653,-7.762427094663434,-7.762427094663434,-7.762427094663434,-7.762427094663434,-7.762427094663434,-7.762427094663434,0.0,0.0,0.0,203.2904224165631
58,2020-06-08,216.50634219643703,123.3769998194015,297.0432635542099,216.50634219643703,216.50634219643703,-5.865172059101787,-5.865172059101787,-5.865172059101787,-5.865172059101787,-5.865172059101787,-5.865172059101787,0.0,0.0,0.0,210.64117013733525
59,2020-06-09,218.32417309150716,136.71553482069825,299.4979423891534,218.32417309150716,218.32417309150716,-2.385019415307768,-2.385019415307768,-2.385019415307768,-2.385019415307768,-2.385019415307768,-2.385019415307768,0.0,0.0,0.0,215.9391536761994
60,2020-06-10,220.14200398657732,134.99138368243663,301.44110432688416,220.14200398657732,220.14200398657732,-3.4951707700103225,-3.4951707700103225,-3.4951707700103225,-3.4951707700103225,-3.4951707700103225,-3.4951707700103225,0.0,0.0,0.0,216.646833216567
61,2020-06-11,221.9598348816475,130.004789178015,296.6210171880377,221.9598348816475,221.9598348816475,-3.8442675055346287,-3.8442675055346287,-3.8442675055346287,-3.8442675055346287,-3.8442675055346287,-3.8442675055346287,0.0,0.0,0.0,218.1155673761129
62,2020-06-12,223.77766577671764,129.19275432229875,301.7463827722564,223.77766577671764,223.77766577671764,-7.762427094632639,-7.762427094632639,-7.762427094632639,-7.762427094632639,-7.762427094632639,-7.762427094632639,0.0,0.0,0.0,216.015238682085
63,2020-06-15,229.23115846192812,139.26336504645423,310.82815095919136,229.23115846192812,229.23115846192812,-5.865172059114712,-5.865172059114712,-5.865172059114712,-5.865172059114712,-5.865172059114712,-5.865172059114712,0.0,0.0,0.0,223.3659864028134
64,2020-06-16,231.0489893569983,144.95523948048574,312.87240219995806,231.0489893569983,231.0489893569983,-2.385019415312011,-2.385019415312011,-2.385019415312011,-2.385019415312011,-2.385019415312011,-2.385019415312011,0.0,0.0,0.0,228.6639699416863
65,2020-06-17,232.92211000495004,145.36684474377836,315.529414750981,232.92211000495004,232.92211000495004,-3.495170770011516,-3.495170770011516,-3.495170770011516,-3.495170770011516,-3.495170770011516,-3.495170770011516,0.0,0.0,0.0,229.42693923493852
